node1,node2,relation
CID000004170,CID000005544,C0038454
CID000003255,CID000123620,C0040584
CID000003446,CID000003961,C0043096
CID000001302,CID000005538,C0011603
CID000002162,CID000002812,C0002871
79084,10920,interacts
CID000004585,CID003081884,C0008031
CID000002088,CID000003958,C0018808
CID000001117,CID000004943,C0242429
CID000004900,CID000005391,C0027707
CID000123631,CID004183806,C0003123
CID000003403,CID000004168,C0038002
CID000001983,CID000003350,C0036983
CID000002118,CID000002801,C0015967
10253,203259,interacts
CID000002088,CID000002284,C0678222
CID000000853,CID000004411,C0018991
CID000002631,CID000002666,C0007642
3150,5424,interacts
CID000002554,CID000004583,C0020505
CID000002803,CID000003249,C0042963
CID000002088,CID000005656,C0149521
CID000003255,CID000004691,C0020456
CID000003386,CID000005717,C0015672
CID000003255,CID000060835,C0043094
CID000004889,CID000005372,C1621958
CID000002267,CID000004091,C0036439
CID000002719,CID000003652,C0034069
CID000003648,CID000038904,C0035258
CID000002666,CID000003780,C0034902
CID000003325,CID000003333,C0038395
CID000004679,CID000004927,C0152128
CID000002022,CID000004946,C0030312
CID000003883,CID000004666,C0518988
CID000003648,CID000005203,C0019079
CID000003780,CID000060831,C0034063
CID000002477,CID000054688,C0004601
CID000003365,CID006447131,C0003864
8669,8894,interacts
3543,2205,interacts
CID000002656,CID000004829,C0041834
CID000002269,CID000004873,C0027947
CID000003157,CID000003255,C0006277
5689,3312,interacts
CID000001983,CID000005426,C0017181
CID000002891,CID000005514,C0018824
55093,8399,interacts
278,6147,interacts
CID000003749,CID000004873,C0034072
CID000003016,CID000004259,C0020461
CID000003639,CID000005391,C0013491
CID000002666,CID000002764,C0005741
CID000003365,CID000003648,C0009938
CID000004889,CID000034312,C0018800
CID000000581,CID000003780,C0015256
2784,56670,interacts
CID000003929,CID000004259,C0018926
4707,4705,interacts
51314,2879,interacts
CID000002764,CID000005647,C0162429
CID000003510,CID000003961,C0038999
CID000001065,CID000005523,C0011860
CID000002083,CID000004259,C0016382
CID000004173,CID000083786,C0005961
CID000001302,CID005353980,C0206504
CID000002083,CID000003958,C0085584
CID000004679,CID000005095,C0398353
CID000004253,CID000062924,C0009319
CID000004917,CID006398525,C0041912
CID000004170,CID000005487,C0231218
CID000002160,CID000002550,C0018802
CID000002585,CID000004894,C0033687
CID000003075,CID000004054,C0009806
CID000003157,CID000004679,C0080274
CID000003016,CID000005651,C0004144
3718,1236,interacts
CID000002676,CID000004583,C0398353
CID000002764,81491,targets
CID000002662,CID000003478,C0040034
CID000003440,CID000005076,C0020619
6152,10969,interacts
5048,3312,interacts
CID000002802,CID000004159,C0013362
81855,10447,interacts
CID000002806,CID000216326,C0033774
CID000003957,CID000004603,C0011615
CID000004171,CID000010631,C0027424
CID000004205,CID000006691,C0006849
CID000003648,CID000004107,C0018681
CID000003825,CID000004634,C0442874
CID000001983,CID000038904,C0039239
CID000002891,CID000124087,C0085096
CID000002907,CID000003367,C0221706
CID000003869,185,targets
CID000004635,CID000004740,C0030920
CID000004583,CID000004635,C0009763
CID000002756,CID000004205,C0035078
CID000002308,CID000005090,C0018801
CID000000450,CID000003157,C0020295
CID000005584,CID000006691,C0008033
CID000002662,CID000004509,C0206062
CID000002177,CID000005726,C0010709
CID000002771,2863,targets
CID000003676,CID000005732,C0019151
CID000002022,CID000005426,C0040264
CID000003222,CID000003877,C0007642
CID000003075,CID000005523,C0000737
CID000004594,CID000005291,C0017574
CID000002909,CID000004510,C0024117
CID000003446,CID000004829,C0033581
CID000004173,CID000004583,C0007787
CID000005090,CID000005647,C0398353
CID000002153,CID000005732,C0220981
CID000005212,CID000005538,C0037763
CID000003345,CID000003750,C0009319
CID000005650,CID000216239,C0242301
CID000003937,CID000123620,C0025202
CID000004253,CID000005029,C0002871
CID000004900,CID000005647,C0016436
CID000002909,CID000003516,C0015230
CID000005090,CID005311027,C0030446
CID000003750,CID000004635,C0020625
4287,23400,interacts
CID000005152,CID000005732,C0020651
CID000003937,CID000004513,C0011053
CID000002471,CID000004900,C0004093
CID000002118,CID000038904,C0518988
CID000002609,CID000054688,C0042373
CID000002658,CID000004873,C0235527
CID000002909,CID000003883,C0013221
5435,6119,interacts
CID000003877,CID000003937,C0003467
CID000002550,CID000003339,C0010054
CID000002462,CID000004205,C0152031
CID000004485,CID000005732,C0085593
CID000002895,CID000060835,C0028084
CID000005426,CID000054547,C0014457
CID000001302,CID000054454,C0038002
CID000000772,CID000004485,C0000731
CID000004594,CID000054786,C1527344
CID000001972,CID000003821,C0002871
CID000003365,CID000004900,C0042384
CID000003325,CID000003365,C0003486
CID000002812,CID000005203,C0442874
CID000001117,CID005329102,C0151908
CID000003746,CID000005090,C0032326
CID000002622,CID000003325,C0030252
CID000004885,CID000005578,C0015967
26574,5956,interacts
CID000002156,CID005311297,C0041657
2303,5518,interacts
10574,908,interacts
CID000002308,CID000003348,C0042267
CID000003016,CID000443871,C0018800
CID000004091,CID000005402,C0038454
CID000002520,CID000006691,C0262397
CID000003345,CID000077999,C0013362
CID000003325,CID000005155,C0003467
8313,7476,interacts
CID000002658,CID000003410,C0032308
213,10989,interacts
CID000002891,CID000004585,C0235527
CID000005358,CID000028112,C0014457
CID000004053,CID000004583,C0029400
CID000004170,CID000004253,C0004604
CID000004599,CID000004771,C0263912
390181,2774,interacts
CID000005039,CID000068740,C0019360
10121,6604,interacts
CID000004205,CID000062924,C0018802
151112,5431,interacts
CID000001117,CID000002666,C0149678
CID000004771,CID000005002,C0037315
CID000002088,CID000002520,C0017152
CID000000444,CID000001775,C0027947
CID000002764,CID000004449,C0038454
CID000002818,CID000003961,C0016204
CID000054454,CID004183806,C0242362
CID000000450,CID000002550,C0085624
CID000005073,CID000005512,C0008320
6772,4172,interacts
54892,2521,interacts
4522,123263,interacts
CID000003255,CID000005090,C0162323
5603,27429,interacts
CID000004171,CID005311048,C0004610
CID000000450,CID000004691,C0037052
CID000001065,CID000003345,C0033774
CID000002907,CID000005732,C0026764
29843,9972,interacts
CID000003446,CID000003746,C0004153
CID000005426,CID003085017,C0018926
8735,57175,interacts
CID000004679,CID000010631,C0032231
CID000004900,CID004183806,C0020625
57050,10969,interacts
CID000002308,CID000005732,C0019291
6749,123169,interacts
CID000002733,CID000003957,C0002871
CID000005039,CID000005556,C0006840
CID000003143,CID000060953,C0006849
CID000002622,CID000002806,C1510475
CID000000444,CID000005064,C0024312
CID000002244,CID000027686,C0149871
CID000003075,CID000054454,C0040997
CID000004159,CID000005538,C0085615
29984,55860,interacts
CID000002462,CID000005291,C0020458
CID000000596,CID000002895,C0010709
CID000003877,CID005381226,C0456909
CID000003746,CID000003869,C0043352
CID000002895,CID000003648,C0235527
139596,7155,interacts
CID000003911,CID000004595,C0011168
CID000005039,CID000005651,C0020672
100,5198,interacts
2300,65123,interacts
CID000005650,CID000041774,C0009676
CID000003386,CID000003899,C0004610
CID000083786,CID000216239,C0002170
CID000003222,CID000004691,C0004238
CID000000444,CID000004171,C0033036
CID000003461,CID006398525,C0015967
CID000001775,CID000005466,C0231218
1370,2773,interacts
CID000004253,CID000123631,C0003962
CID000003075,CID000005533,C0851578
7041,2185,interacts
CID000004112,CID000004614,C0041912
CID000002891,CID000004691,C0004096
CID000002022,CID000004900,C0011849
CID000000772,CID000003478,C0013404
CID000003108,CID000003386,C0009241
CID000000853,CID000004506,C0917801
CID000002311,CID000125889,C0004601
CID000003121,CID000003488,C0027059
3419,259307,interacts
CID000005039,CID000005544,C0011053
CID000001302,CID000003279,C0033687
CID000002786,CID000002806,C0007785
CID000001117,CID000068740,C0020437
CID000003062,CID000038904,C0497156
CID000003032,CID000005152,C0002622
CID000003016,CID000170361,C0917801
CID000002477,CID000004168,C0004093
139741,5426,interacts
CID000003510,CID000005651,C0015672
CID000000271,CID000005090,C0032290
CID000003157,CID000005090,C0032290
CID000002812,CID000005039,C0231807
CID000004052,CID000005267,C0678222
CID000003639,CID000024486,C1145670
CID000002160,CID000003958,C0030554
CID000002895,CID000004585,C0522055
CID000002244,CID000004666,C0520474
CID000002764,CID000004894,C0085680
CID000001302,CID000002522,C0032285
CID000002895,CID000004679,C0027121
CID000003640,CID000005408,C0010823
7874,5696,interacts
CID000002806,CID000005651,C0007282
CID000004917,CID000005073,C0027531
6597,8726,interacts
CID000001983,CID000004189,C0014457
1132,5697,interacts
CID000004159,CID000004409,C0027719
CID000004236,CID000005095,C0004604
CID000003410,CID000054454,C0037199
790,10212,interacts
CID000002656,CID000004259,C0033975
CID000000450,CID004475485,C0004601
93323,27229,interacts
CID000004159,CID000060147,C0043144
CID000004595,CID000059708,C0042487
80176,92369,interacts
CID000005095,CID000005734,C0035258
CID000002022,CID000004212,C0003123
CID000002022,CID000004112,C0023524
CID000002554,CID000005267,C0038525
6242,55752,interacts
CID000003339,CID000005039,C0004093
CID000003016,CID000004819,C0008031
2073,56852,interacts
CID000003639,CID000003825,C0262613
CID000002244,CID000005650,C0011882
CID000003003,CID005311048,C0018932
CID000002405,CID000003749,C0030252
CID000002656,CID000003310,C0004093
CID000005073,CID000006691,C0038220
CID000003957,CID000005538,C0043352
CID000004595,CID000010631,C0231807
CID000003899,CID000004691,C0026846
CID000005572,CID000060795,C0015300
CID000003386,CID000005466,C0042029
CID000004583,CID000062924,C0014335
CID000002803,CID000002955,C0311394
CID000003440,CID000003478,C0159877
CID000003449,CID000003639,C0497327
CID000005203,CID005353980,C0027051
85302,3501,interacts
CID000001065,CID000005212,C0020598
CID000002477,CID000003386,C0206062
CID000003152,CID000005556,C0037299
CID005329102,CID006398525,C0013604
CID000004178,CID000005732,C0026764
CID000000772,CID000005656,C0342579
CID000003348,CID000057537,C0043096
CID000003478,CID000130881,C0012569
10657,7311,interacts
CID000002250,CID000003121,C0009319
CID000004091,CID000027661,C0085610
CID000002520,CID000005512,C0018524
CID000003877,CID000004173,C0033975
CID000003333,CID000005203,C0024586
6629,60625,interacts
CID000003478,CID000004034,C0010692
CID000003121,CID000003878,C0022568
5594,3716,interacts
CID000003157,4161,targets
CID000000853,CID000005212,C1136085
CID000004168,CID000005076,C0041909
CID000002022,CID000003348,C0001948
CID000003902,CID000004168,C0018520
CID000004594,CID000119182,C0015967
CID000002812,CID000004927,C0035078
CID000004253,CID000005523,C0033774
CID000000596,CID000005291,C0023798
23413,55605,interacts
CID000005203,CID000068740,C0013182
CID000002118,CID000003446,C0149741
CID000000143,CID005353980,C0018799
CID000002678,CID000216239,C0011175
CID000004091,CID000004510,C0002871
1959,57716,interacts
CID000002786,CID000005514,C0014868
CID000003696,CID000004900,C0013395
CID000004168,CID000005512,C0318712
CID000001117,CID000150311,C0002170
5540,5733,interacts
CID000000143,CID000004873,C0003507
CID000003488,CID000019090,C0030252
CID000004594,CID000027661,C0015732
CID000003676,CID000008953,C0037284
CID000004543,CID000034312,C0149514
CID000004112,CID000004205,C0085605
CID000004873,CID000148211,C0497156
CID000003883,CID000077999,C0344232
CID000003405,CID000071329,C0028754
CID000002764,CID000123620,C0037763
5577,1390,interacts
CID000006691,CID000060147,C0032302
CID000003365,CID000004834,C0020598
CID000002477,CID000004595,C0016199
23635,8445,interacts
135892,222235,interacts
3069,23363,interacts
29984,55558,interacts
CID000004946,CID000062924,C0014591
CID000003003,CID000003032,C0014488
CID000004679,CID000068740,C0037284
CID000002173,CID003468412,C0020625
351,10072,interacts
64105,401541,interacts
CID000000838,CID000002806,C0009806
CID000002801,CID000003958,C0004626
CID000000143,CID000003062,C0151744
CID000003152,CID000005391,C0014394
CID000003928,CID000054454,C0009376
CID000002153,CID000004927,C0020557
CID000003003,CID000004829,C0085610
CID000002022,CID000004900,C0022346
CID000004856,CID006398525,C0000737
CID000001775,CID000002022,C0020538
CID000004058,CID000004927,C0028081
CID000003324,CID000004170,C0006277
3105,7412,interacts
CID000003108,CID003468412,C0030196
CID000002895,CID000060852,C0027497
CID000000853,CID000125017,C0040264
CID000002951,CID000003672,C0004093
CID000002250,CID000005645,C0020433
CID000002083,CID000004674,C0151744
1938,5198,interacts
23246,6168,interacts
CID000002678,CID000004171,C0027769
CID000003639,CID000005358,C0011168
CID000000772,CID000004927,C0006384
CID000003640,CID000068740,C0231807
CID000004440,CID000005523,C0009241
CID000002265,CID000005002,C0001824
CID000003446,CID000032797,C0018802
4519,207,interacts
CID000002269,CID000170361,C0038999
CID000054454,CID004183806,C0030196
CID000002187,CID000004691,C0029456
CID000005732,CID000060198,C0013473
CID000004510,CID000119607,C0085631
CID000000444,CID000004091,C0085096
CID000002160,CID000005523,C0032308
CID000005487,CID005311297,C0009806
CID000005478,CID000087177,C0002871
CID000003348,CID000004543,C0017168
CID000001117,CID000005732,C0042109
CID000003062,CID000004900,C0205929
CID000002891,CID000005391,C0013428
CID000004583,CID000062924,C0149516
CID000003476,CID000005152,C0917801
CID000003158,CID000060835,C0013362
CID000002083,CID000002477,C0750426
CID000004112,CID000667490,C0010692
CID000002662,CID000004449,C0042024
CID000002585,CID000083786,C0159877
CID000000861,CID000005514,C0011615
CID000002083,CID000216326,C0019348
CID000003348,CID000004609,C0018801
CID000005077,CID000122316,C0018524
10022,5196,interacts
CID000000596,CID000002662,C0344232
CID000002771,CID000003382,C0750426
CID000004543,CID000005090,C0016053
CID000003749,CID000024486,C0019158
CID000005039,CID000160051,C0037199
2071,1459,interacts
CID000002786,CID000005203,C0035410
CID000001302,CID000005064,C0151766
CID000003325,CID005311297,C0042963
CID000005002,CID000005090,C0242184
CID000004158,CID000005203,C0006849
CID000004091,CID003468412,C0007785
CID000000581,CID000008953,C0020538
CID000003958,CID006398970,C0085605
CID000002311,CID000003652,C0013395
CID000000772,CID000002232,C0038454
CID000002083,CID000002173,C0035220
CID000003957,CID000005514,C0033975
CID000002895,CID000003222,C0428977
CID000002088,CID000004932,C0004238
8833,353497,interacts
4522,27339,interacts
CID000002083,CID000004607,C0013144
CID000004052,CID000087177,C0267596
CID000004253,CID000005487,C0006846
CID000002083,CID000062924,C0162529
CID000002662,CID000002719,C0019557
CID000003365,CID000005578,C0232492
CID000003672,CID000004095,C0013604
CID000004168,CID000059708,C0162834
CID000003749,CID000003961,C0027051
CID000002462,CID000002554,C0011880
CID000004635,CID000005391,C0018924
CID000003961,CID000004900,C0021092
CID000002520,CID000005152,C0041834
CID000002802,CID000005152,C0025323
CID000004058,CID000005391,C0917801
CID000003003,CID000004740,C0152025
CID000123620,CID000150311,C0263912
CID000003405,CID000125889,C0037195
CID000004205,CID000005073,C0085166
CID000004917,CID000005656,C0037011
CID000000853,CID000004159,C0001339
CID000003032,CID000005523,C0026858
CID000003883,CID000005029,C0018681
CID000003446,CID000216239,C0030486
CID000005734,CID000054454,C0018524
CID000005152,CID000054688,C0015672
CID000004583,CID000005035,C0041912
CID000001775,CID000004173,C0042029
CID000002576,CID005311297,C0026946
CID000003440,CID000054547,C0003467
CID000003962,CID000005376,C0878544
CID000003365,CID000068740,C0085096
CID000004159,CID006398525,C0030196
1671,23294,interacts
CID000002678,CID000004634,C0039231
CID000003961,CID000005090,C0011884
CID000003463,CID000062924,C0030794
10452,10273,interacts
CID000004635,CID000068740,C0016059
CID000003255,CID000124087,C0004604
6597,2034,interacts
CID000005650,CID000216239,C0033687
CID000000772,CID000003397,C0015967
80781,1508,interacts
CID000002756,CID000004666,C0242528
CID000003345,CID000124087,C0007859
CID000005064,CID006436173,C0035078
CID000002650,CID000027661,C0037998
79823,84444,interacts
CID000005038,CID000005672,C0851578
CID000000838,CID000003062,C0003504
CID000000838,CID000003345,C0020040
CID000001302,CID000003488,C0019825
CID000054454,CID005353980,C0032300
CID000000772,CID000002311,C0020437
CID000002308,CID000004171,C0151517
CID000001302,CID000005487,C0013362
2307,27037,interacts
CID000002749,CID000003348,C0018932
CID000003962,CID000004595,C0004093
CID000003446,CID000004614,C0149514
CID000000937,CID000004873,C0007282
CID000000861,CID000004900,C0002170
CID000004259,CID000005732,C1145670
CID000002156,CID000004168,C0267596
CID000003878,CID000004634,C0016204
CID000003902,CID000005090,C0028081
CID000002160,CID000060835,C0007642
CID000000596,CID000002585,C0023895
CID000004829,CID000016231,C0020538
CID000003702,CID000054454,C0011854
CID000004873,CID000005426,C0010692
CID000004513,CID000005245,C0085631
CID000004170,CID000004635,C0266813
CID000003510,CID000003640,C0035410
CID000002099,CID000004900,C0027051
CID000003672,CID000004449,C0002871
CID000003440,CID000005544,C0018802
CID000003348,CID000004894,C0040822
84759,6045,interacts
8848,55215,interacts
CID000002250,CID000003419,C0019079
CID000005078,CID000032797,C0011168
CID000003657,CID000005291,C0018991
CID000003890,CID000006691,C0018965
CID000002771,CID000004411,C0034065
CID000003003,CID000004173,C0037287
CID000002083,CID000005496,C0017181
CID000003446,CID000004829,C1527344
CID000005544,CID000005719,C0011168
CID000005647,CID000060852,C0085593
CID000004594,CID000004745,C0015967
CID000003463,CID000005155,C0008031
CID000002265,CID000005029,C0042384
CID000002524,CID000004112,C0012691
CID000003308,CID000004259,C0010043
CID000004909,CID005311297,C0042133
CID000005203,CID000005533,C0011168
CID000000271,26287,targets
CID000003961,CID000068740,C0014549
CID000004679,CID000123620,C0231807
CID000003702,CID000003957,C0027719
CID000004539,CID000005650,C0034150
CID000000942,CID000004168,C0003962
CID000003305,CID000005650,C0086543
CID000003339,CID000150311,C0015300
CID000002311,CID000003652,C0011849
CID000002771,CID000005379,C0038358
CID000005732,CID000062924,C0022408
CID000003305,CID000004894,C0151706
CID000004058,CID006398525,C0010200
27429,55486,interacts
CID000000450,CID000003746,C0020625
CID000005372,CID000087177,C0025222
CID000006691,CID000047725,C0151744
CID000002477,CID000002764,C0003850
CID000003386,CID000060795,C0033975
CID000003350,CID000003658,C0010200
CID000003348,CID000005039,C0018500
CID000062924,CID006398525,C0152128
CID000003639,CID000004595,C0221150
CID000003958,CID000005379,C1269683
CID000003154,CID000003883,C0017181
CID000004112,CID000170361,C0042963
CID000004634,CID000005152,C0039231
CID000005544,CID000065999,C0043144
7428,56288,interacts
CID000004900,CID000005029,C0031117
CID000003405,CID000005064,C0242362
CID000003365,CID000003476,C0038002
CID000004583,CID000005005,C0018932
CID000004052,CID000054454,C0151970
CID000002646,CID000003386,C0013604
CID000003121,CID000005358,C0522055
CID000003661,CID000028112,C0151517
18,2023,interacts
CID000003016,CID000003161,C0039239
CID000003339,CID000003639,C0003123
CID000004635,CID000068740,C0151904
CID000003108,CID000003639,C0019080
CID000001065,CID000125889,C0013395
CID000005152,CID000124087,C0231218
CID000005512,CID000060854,C0011175
CID000004601,CID000123620,C0034887
CID000002786,CID000003516,C0014863
23223,7132,interacts
CID000003767,CID000005352,C0243026
CID000002471,CID000087177,C0040822
CID000002250,CID000005650,C0020456
100423062,23584,interacts
CID000002083,CID000004927,C0020621
50628,4904,interacts
CID000002311,CID000003488,C0035222
CID000065027,CID000074989,C0151699
CID000001983,CID005311039,C0036974
CID000002818,CID000003672,C0917799
CID000002656,CID000003937,C0220981
CID000002771,CID000003062,C0023211
CID000005379,CID000071616,C0010043
CID000002909,CID000003652,C0008033
CID000002487,CID000003405,C0344232
CID000002088,CID000004091,C0037672
CID000003121,CID000003152,C0027719
CID000000450,CID000005029,C0012813
CID000000450,CID000005078,C0085610
CID000002806,CID000003075,C0020295
CID000004543,CID000027661,C0085649
CID000003042,CID000004091,C0018932
CID000002812,CID000004513,C0028738
9617,79091,interacts
CID000002576,CID000005719,C0036974
CID000000853,CID000003702,C0004238
CID000003397,CID000047725,C0027719
6210,10952,interacts
CID000003339,CID000003405,C0595939
CID000003222,CID000125889,C0232492
CID000002803,CID000006691,C0008325
CID000004168,CID000004253,C0004623
5591,3981,interacts
2805,6390,interacts
10815,140679,interacts
CID000002764,CID000005005,C0497247
CID000002269,CID000004894,C0034150
89941,93663,interacts
CID000002585,CID000054454,C0151908
2011,2517,interacts
CID000002550,CID000004091,C0018418
CID000003676,CID000004168,C0042024
6166,51154,interacts
22938,7431,interacts
CID000003403,CID000060147,C0030312
55813,60313,interacts
CID000004510,CID000005002,C0002792
CID000003750,CID000005978,C0011991
CID000003348,CID000060164,C0851578
CID000002265,CID000003121,C0043352
CID000002646,CID000005002,C0086769
CID000000143,CID000005732,C0042510
CID000003042,CID000125889,C0206062
CID000004171,CID005381226,C0000737
CID000003345,CID000004595,C0221150
CID000003937,CID000060147,C0042420
CID000004583,CID000005408,C0040034
CID000005090,CID000005203,C0010200
CID000004946,CID000005152,C0022602
CID000027661,CID005311297,C0043094
CID000002909,CID000003958,C0423798
79594,7314,interacts
9735,10403,interacts
CID000002083,CID000003929,C0030312
CID000004585,CID000005212,C0039231
CID000005556,CID000006691,C0042769
CID000002462,CID000005002,C0020473
CID000005090,CID000054454,C0235896
CID000002726,CID000003446,C0009241
CID000005029,CID000071329,C0917801
CID000003957,CID000004691,C0020488
CID000001690,CID000004674,C0678222
CID000002250,CID000005412,C0028084
CID000004091,CID000005064,C0149736
23435,9101,interacts
CID000003826,CID000004259,C0003467
CID000000937,CID000003476,C0012813
CID000004674,CID000005978,C0013144
CID000004159,CID000005732,C0043144
CID000003702,CID000130881,C0030193
CID000004205,CID000005038,C0021141
CID000002895,CID000004510,C0020538
CID000000444,CID000005245,C0020162
CID000003154,CID000060831,C0002170
CID000003957,CID000004900,C0020437
142,10051,interacts
CID000004829,CID005493444,C0085649
CID000002524,CID000004595,C0152031
CID000002666,CID000005184,C0003962
CID000001117,CID000004634,C0023518
CID000002732,CID000003350,C0020443
CID000003222,CID000005672,C0001824
CID000002771,CID000060835,C0151786
8607,54799,interacts
CID000004171,CID000005391,C0022660
CID000001302,CID000004075,C0037199
10576,83983,interacts
CID000003161,CID000005719,C0015672
CID000003075,CID000003749,C0006384
CID000005732,CID000054688,C0033687
CID000000271,CID000004594,C0032308
619373,5583,interacts
CID000000772,CID000004691,C0032300
CID000034312,CID000125017,C0020538
CID000004091,CID000004946,C0004238
CID000002585,CID000004253,C0042963
CID000005002,CID000005512,C0023895
CID000003032,CID000004691,C0151632
CID000004634,CID000005487,C0030794
6776,596,interacts
CID000004170,CID000150310,C0043144
CID000003032,CID000004635,C0042384
CID000003108,CID000003405,C0034063
10238,118461,interacts
CID000002160,CID000005152,C0019209
CID000003350,CID000093860,C0151744
CID000062924,CID000083786,C0011603
101,285590,interacts
CID000003003,CID000004585,C0011880
CID000006691,CID000024486,C0020443
CID000001983,CID000064147,C0030312
CID000002462,CID000150311,C0043144
6468,22954,interacts
CID000003222,CID000004946,C0007859
CID000005512,CID004475485,C0017601
CID000002308,CID000027661,C0043117
CID000060953,CID000123631,C0041834
CID000000450,CID000004171,C0020676
CID000001302,CID000003676,C0009241
CID000004259,CID000004691,C1510475
5890,672,interacts
CID000002265,CID000003883,C0151436
CID000002909,CID000005647,C0018681
CID000003446,CID000124087,C0031154
2796,10316,interacts
CID000002249,CID000004893,C0013604
CID000002713,CID000004917,C0016658
2885,118788,interacts
9493,7534,interacts
CID000004192,CID000004894,C0027080
CID000003324,CID000003652,C0038454
CID000002477,CID000004873,C0041582
CID000005358,CID000010631,C0152030
CID000002803,CID000125889,C0013428
CID000002678,CID000156419,C0037284
CID000003446,CID000005402,C0011175
8621,1432,interacts
CID000002771,CID000003899,C0011168
CID000003957,CID000123620,C0038454
CID000002585,CID000104865,C0036983
CID000003883,CID000060854,C0152459
CID000002160,CID000004168,C0263912
CID000002658,CID000004168,C0149516
CID000003075,CID000004594,C0019655
CID000003419,CID000005090,C0600139
CID000002512,CID000004236,C0024141
CID000003478,CID000005064,C0231807
CID000002156,CID000060831,C0030312
CID000003333,CID000216326,C0033774
CID000000853,CID000005152,C0042109
CID000002092,CID000005512,C0028734
CID000002269,CID000003767,C0917801
CID000003075,CID000004259,C0267596
CID000004253,CID000005719,C0398353
CID000002153,CID000083786,C0003864
CID000003488,CID000083786,C0039070
5436,5425,interacts
CID000003016,CID000154059,C0023895
6188,2197,interacts
CID000004253,CID000004927,C0522224
CID000003826,CID000004205,C0000737
CID000000853,CID000016231,C0018824
CID000005090,CID000005478,C0018932
CID000003032,CID005311048,C0017672
CID000003648,CID000004171,C0013404
CID000002662,CID000006691,C0235660
CID000005073,CID000005391,C0029878
CID000003419,CID000004691,C0042029
CID000003826,CID000004594,C0041296
CID000002022,CID000005732,C0020040
CID000004679,CID000054454,C0235896
CID000004691,CID000005376,C0231528
CID000003639,CID000119607,C0026848
92912,222235,interacts
CID000000838,CID000004900,C0027404
9469,1994,interacts
CID000001983,CID000003883,C0917799
CID000004885,CID000005029,C0019360
CID000000772,CID000003062,C0018916
CID000004920,CID000060831,C0242184
9262,9878,interacts
CID000002435,CID000004917,C0020443
CID000000772,CID000002160,C0028754
CID000002803,CID000130881,C0022661
22803,253314,interacts
CID000003222,CID000054454,C0015672
1950,7051,interacts
CID000002244,CID000002676,C0014457
CID000000937,CID000003780,C0342579
CID000001983,CID000002650,C0022660
CID000002764,CID000028112,C0026650
999,1080,interacts
CID000000853,CID000003461,C0038362
CID000003016,CID000003958,C0344232
CID000002520,CID005493444,C0004093
CID000005064,CID000005512,C0917801
CID000003143,CID000003403,C0442874
CID000002520,CID000123620,C0152029
CID000004595,CID000024486,C0042029
CID000002978,CID000004485,C0004604
CID000003419,CID000060147,C0020538
794,1048,interacts
CID000002662,CID000016231,C0003864
CID000002022,CID000004171,C0151970
CID000000853,CID000002244,C0030252
CID000002764,CID000110635,C0003467
CID000002662,CID000003003,C0595939
CID000004259,CID000154059,C0595939
CID000002895,CID000003559,C0030193
CID000003062,CID000005656,C0020598
CID000003957,CID000004112,C0024050
4609,2534,interacts
CID000002162,CID000004885,C0038363
79882,79012,interacts
CID000001302,CID000003446,C0005747
CID000003339,CID000005735,C0232492
CID000005073,CID000005076,C0018965
CID000002764,CID000005005,C0011854
CID000003672,CID000054688,C0151517
CID000003961,CID005311297,C0032231
CID000005090,CID000005512,C0020458
4841,5563,interacts
CID000002088,CID000003325,C0013395
90678,135892,interacts
CID000002284,CID000003746,C0008325
CID000002244,CID000002311,C0003507
CID000004485,CID000060835,C0030554
CID000002801,CID000005212,C0004604
CID000004927,CID000005656,C0152032
CID000003658,CID000005391,C0006386
CID000004583,CID000005267,C0009806
CID000000450,CID000150311,C0042384
CID000003899,CID004475485,C0314719
CID000002771,CID000004594,C0009806
CID000002250,CID000002666,C0020505
CID000001971,CID000002806,C0011168
10663,50833,interacts
CID000002284,CID000004635,C0003123
CID000001690,CID000005234,C0149871
1213,10483,interacts
CID000002022,CID000093860,C0031350
CID000003405,CID000005391,C0033860
CID000003348,CID000004171,C0221706
CID000002712,CID000003446,C0277925
CID000005401,CID000060852,C0038999
CID000003405,CID000004158,C0040261
CID000001690,CID000003446,C0030193
CID000005523,CID000019090,C0442874
CID000003899,CID000004112,C0015732
5054,1906,interacts
79050,54881,interacts
1548,139285,interacts
CID000000453,CID000001983,C0002871
CID000003333,CID000004170,C0013604
CID000002471,CID000005391,C0015695
CID000002524,CID000002909,C0020295
CID000002678,CID000003249,C0032302
CID000004585,CID000005038,C0162529
CID000004091,CID000004205,C0085614
CID000004539,CID000004679,C0020649
5245,6597,interacts
CID000004170,CID000068740,C0020651
10762,6603,interacts
CID000004205,CID000005090,C0002994
CID000004075,CID000004583,C0009806
CID000002666,CID000003827,C0003864
CID000004834,CID000054454,C0002622
CID000001971,CID000003121,C0014544
CID000003823,CID000004253,C0036689
CID000003658,CID000004409,C0011616
CID000004740,CID000005073,C0035078
CID000003003,CID000003365,C0006277
CID000005002,CID000005656,C0221706
CID000005152,CID000005391,C0428977
CID000004253,CID000006691,C0243026
57630,7317,interacts
CID000002713,CID000003958,C0038999
6259,55750,interacts
CID000004691,CID000004845,C0595939
CID000002118,CID000005656,C0025061
CID000003478,CID000003899,C0011206
CID000003032,CID000004052,C0003962
CID000003161,CID000003345,C0011206
CID000002891,CID000003339,C0037672
CID000000444,CID000004634,C0282488
